Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2004","2004","1000 tonnes","50","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2005","2005","1000 tonnes","50","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2006","2006","1000 tonnes","50","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2007","2007","1000 tonnes","50","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2008","2008","1000 tonnes","50","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2009","2009","1000 tonnes","50","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2010","2010","1000 tonnes","10","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2011","2011","1000 tonnes","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2012","2012","1000 tonnes","16","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2013","2013","1000 tonnes","50","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","52","Azerbaijan","5123","Losses","2908","Sugar Crops","1992","1992","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","52","Azerbaijan","5123","Losses","2908","Sugar Crops","1993","1993","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","52","Azerbaijan","5123","Losses","2908","Sugar Crops","1994","1994","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","52","Azerbaijan","5123","Losses","2908","Sugar Crops","1995","1995","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","52","Azerbaijan","5123","Losses","2908","Sugar Crops","1996","1996","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","52","Azerbaijan","5123","Losses","2908","Sugar Crops","1997","1997","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","52","Azerbaijan","5123","Losses","2908","Sugar Crops","1998","1998","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
